,full_name,engine_capacity,resale_price,registered_year,insurance,transmission_type,kms_driven,owner_type,fuel_type,brand
0,Baleno 1.2,1197.0,545000.0,2017,Third,Manual,40000.0,First,Petrol,Maruti
1,Hexa XTA,2179.0,1000000.0,2018,Third,Automatic,70000.0,First,Diesel,Tata
2,Swift Dzire,1197.0,450000.0,2015,Third,Manual,70000.0,Second,Petrol,Maruti
3,i10 Magna,1086.0,160000.0,2009,Third,Manual,80000.0,First,Petrol,Hyundai
4,i20 Active,1197.0,470000.0,2015,Third,Manual,70000.0,First,Petrol,Hyundai
5,Tiago 1.05,1047.0,360000.0,2017,Third,Manual,120000.0,First,Diesel,Tata
6,i10 Magna,1086.0,200000.0,2010,Third,Manual,60000.0,Second,Petrol,Hyundai
7,Eeco 7,1196.0,370000.0,2016,Third,Manual,20000.0,First,Petrol,Maruti
8,Santro Xing,1086.0,120000.0,2009,Third,Manual,30000.0,First,Petrol,Hyundai
9,Amaze E,1198.0,330000.0,2014,Third,Manual,70000.0,First,Petrol,Honda
10,Xcent 1.2,1197.0,475000.0,2018,Third,Manual,60000.0,Second,Petrol,Hyundai
11,Ciaz Sigma,1462.0,686000.0,2020,Third,Manual,50000.0,Third,Petrol,Maruti
12,Venue SX,1493.0,1250000.0,2021,Third,Manual,60000.0,First,Diesel,Hyundai
13,Venue SX,1396.0,1100000.0,2021,Third,Manual,60000.0,First,Diesel,Hyundai
14,Alto K10,998.0,395000.0,2019,Third,Automatic,20000.0,First,Petrol,Maruti
15,Wagon R,998.0,350000.0,2016,Third,Manual,40000.0,First,CNG,Maruti
16,Etios VX,1496.0,289000.0,2011,Third,Manual,50000.0,Second,Petrol,Toyota
17,Corolla Altis,1364.0,282000.0,2011,Third,Manual,150000.0,First,Diesel,Toyota
18,Sonet HTX,998.0,1000000.0,2021,Third,Manual,10000.0,First,Petrol,Kia
19,Ciaz Alpha,1462.0,785000.0,2020,Third,Manual,30000.0,Second,Petrol,Maruti
20,Ecosport 1.5,1498.0,300000.0,2014,Third,Manual,150000.0,Third,Diesel,Ford
21,Outlander 2.4,2360.0,397000.0,2011,Third,Automatic,80000.0,Second,Petrol,Mitsubishi
22,Swift Dzire,1248.0,375000.0,2015,Third,Manual,20000.0,First,Diesel,Maruti
23,Alto K10,998.0,100000.0,2011,Third,Manual,120000.0,Third,Petrol,Maruti
24,Baleno Zeta,1197.0,675000.0,2021,Third,Manual,40000.0,First,Petrol,Maruti
25,Xcent 1.2,1197.0,465000.0,2018,Third,Manual,60000.0,Second,Petrol,Hyundai
26,Swift Dzire,1197.0,480000.0,2015,Third,Manual,80000.0,Second,Petrol,Maruti
27,Alto 800,796.0,225000.0,2014,Third,Manual,100000.0,First,Petrol,Maruti
28,Wagon R,998.0,320000.0,2016,Third,Manual,70000.0,Second,Petrol,Maruti
29,Grand i10,1197.0,415000.0,2015,Third,Manual,30000.0,First,Petrol,Hyundai
30,Swift VDI,1248.0,240000.0,2012,Third,Manual,120000.0,Third,Diesel,Maruti
31,XUV500 W6,2179.0,350000.0,2013,Third,Manual,100000.0,Third,Diesel,Mahindra
32,New Safari,2179.0,296000.0,2013,Third,Manual,90000.0,Second,Diesel,Tata
33,Tiago 1.2,1199.0,316000.0,2018,Third,Manual,100000.0,First,Petrol,Tata
34,Vitara Brezza,1248.0,750000.0,2017,Third,Manual,100000.0,Second,Diesel,Maruti
35,Ertiga VDI,1248.0,900000.0,2019,Third,Manual,120000.0,First,Diesel,Maruti
36,Celerio VXI,998.0,560000.0,2022,Third,Manual,10000.0,First,Petrol,Maruti
37,Vitara Brezza,1248.0,800000.0,2017,Third,Manual,150000.0,First,Diesel,Maruti
38,Creta 1.4,1396.0,900000.0,2017,Third,Manual,120000.0,Second,Diesel,Hyundai
39,Alto 800,796.0,280000.0,2019,Third,Manual,80000.0,First,Petrol,Maruti
40,Innova 2.5,2494.0,550000.0,2013,Third,Manual,90000.0,Second,Diesel,Toyota
41,Innova 2.5,2494.0,250000.0,2009,Third,Manual,150000.0,First,Diesel,Toyota
42,Manza Aqua,1248.0,150000.0,2011,Third,Manual,150000.0,First,Diesel,Tata
43,Grand i10,1186.0,480000.0,2017,Third,Manual,20000.0,First,Diesel,Hyundai
44,Eeco CNG,1196.0,300000.0,2017,Third,Manual,150000.0,First,CNG,Maruti
45,A4 2.0,1968.0,1200000.0,2014,Third,Automatic,30000.0,Second,Diesel,Audi
46,i20 Sportz,1197.0,800000.0,2022,Third,Manual,10000.0,First,Petrol,Hyundai
47,Polo Diesel,1199.0,200000.0,2012,Third,Manual,80000.0,Fifth,Diesel,Volkswagen
48,Vitara Brezza,1248.0,740000.0,2019,Third,Manual,80000.0,Second,Diesel,Maruti
49,Santro Xing,1086.0,150000.0,2009,Third,Manual,30000.0,First,Petrol,Hyundai
50,Swift Dzire,1248.0,520000.0,2016,Third,Manual,30000.0,First,Diesel,Maruti
51,i10 Sportz,1197.0,170000.0,2010,Third,Manual,80000.0,Third,Petrol,Hyundai
52,Venue S,1197.0,710000.0,2021,Third,Manual,30000.0,First,Petrol,Hyundai
53,Rapid 1.0,999.0,950000.0,2021,Third,Manual,20000.0,First,Petrol,Skoda
54,Figo Diesel,1399.0,240000.0,2013,Third,Manual,70000.0,First,Diesel,Ford
55,Rapid 1.0,999.0,930000.0,2021,Third,Manual,20000.0,First,Petrol,Skoda
56,Hector Plus,1956.0,1922000.0,2022,Third,Manual,20000.0,First,Diesel,MG
57,EON D,814.0,150000.0,2013,Third,Manual,50000.0,Second,Petrol,Hyundai
58,Grand i10,1197.0,380000.0,2015,Third,Manual,30000.0,First,Petrol,Hyundai
59,Punch Adventure,1199.0,590000.0,2021,Third,Manual,30000.0,First,Petrol,Tata
60,Polo 1.5,1498.0,400000.0,2016,Third,Manual,150000.0,First,Diesel,Volkswagen
61,Etios Liva,1364.0,300000.0,2013,Third,Manual,40000.0,First,Diesel,Toyota
62,Duster 85PS,1461.0,500000.0,2017,Third,Manual,120000.0,First,Diesel,Renault
63,Alto 800,796.0,210000.0,2015,Third,Manual,20000.0,First,Petrol,Maruti
64,Wagon R,998.0,100000.0,2009,Third,Manual,90000.0,Second,Petrol,Maruti
65,XUV500 W10,2179.0,900000.0,2015,Third,Manual,50000.0,First,Diesel,Mahindra
66,Seltos HTX,1493.0,1349000.0,2020,Third,Manual,70000.0,First,Diesel,Kia
67,Swift Dzire,1248.0,650000.0,2019,Third,Manual,50000.0,First,Diesel,Maruti
68,Wagon R,998.0,475000.0,2019,Third,Manual,20000.0,First,Petrol,Maruti
69,Terrano XE,1461.0,320000.0,2014,Third,Manual,90000.0,Second,Diesel,Nissan
70,Grand i10,1197.0,370000.0,2015,Third,Manual,60000.0,Second,Petrol,Hyundai
71,Wagon R,1061.0,110000.0,2009,Third,Manual,90000.0,Second,Petrol,Maruti
72,Spark 1.0,995.0,50000.0,2009,Third,Manual,60000.0,Second,Petrol,Chevrolet
73,Figo Titanium,1499.0,550000.0,2020,Third,Manual,60000.0,Second,Diesel,Ford
74,Jazz 1.5,1498.0,390000.0,2015,Third,Manual,90000.0,Second,Diesel,Honda
75,i10 Magna,1086.0,250000.0,2017,Third,Manual,20000.0,Second,Petrol,Hyundai
76,Alto 800,796.0,200000.0,2013,Third,Manual,80000.0,First,Petrol,Maruti
77,Swift Dzire,1197.0,725000.0,2022,Third,Manual,10000.0,First,Petrol,Maruti
78,Jazz 1.5,1498.0,450000.0,2017,Third,Manual,110000.0,First,Diesel,Honda
79,City i-DTEC,1498.0,750000.0,2017,Third,Manual,120000.0,First,Diesel,Honda
80,Etios Liva,1364.0,215000.0,2011,Third,Manual,70000.0,Third,Diesel,Toyota
81,Alto 800,796.0,206000.0,2013,Third,Manual,80000.0,First,Petrol,Maruti
82,XUV500 W8,2179.0,550000.0,2015,Third,Manual,120000.0,First,Diesel,Mahindra
83,Wagon R,998.0,250000.0,2012,Third,Manual,150000.0,First,CNG,Maruti
84,Alto 800,796.0,210000.0,2013,Third,Manual,80000.0,First,Petrol,Maruti
85,Etios V,1496.0,250000.0,2011,Third,Manual,70000.0,Second,Petrol,Toyota
86,KWID RXL,799.0,185000.0,2016,Third,Manual,60000.0,Second,Petrol,Renault
87,Grand i10,1197.0,300000.0,2014,Third,Manual,70000.0,Third,Petrol,Hyundai
88,Spark 1.0,995.0,50000.0,2009,Third,Manual,60000.0,Third,Petrol,Chevrolet
89,Spark 1.0,995.0,50000.0,2009,Third,Manual,60000.0,Second,Petrol,Chevrolet
90,Grand i10,1120.0,250000.0,2013,Third,Manual,100000.0,Second,Diesel,Hyundai
91,SX4 ZXI,1586.0,190000.0,2012,Third,Manual,120000.0,Second,Petrol,Maruti
92,Swift Dzire,1197.0,650000.0,2019,Third,Manual,40000.0,First,Petrol,Maruti
93,Scorpio VLX,2179.0,500000.0,2013,Third,Manual,80000.0,First,Diesel,Mahindra
94,Amaze E,1498.0,190000.0,2013,Third,Manual,120000.0,First,Diesel,Honda
95,Baleno 1.2,1197.0,570000.0,2019,Third,Manual,80000.0,Second,Petrol,Maruti
96,Swift Dzire,1248.0,350000.0,2014,Third,Manual,80000.0,Second,Diesel,Maruti
97,City i,1498.0,380000.0,2014,Third,Manual,120000.0,Fourth,Diesel,Honda
98,Vitara Brezza,1248.0,780000.0,2019,Third,Manual,100000.0,First,Diesel,Maruti
99,KWID STD,799.0,240000.0,2018,Third,Manual,20000.0,First,Petrol,Renault
100,Nexon XM,1199.0,840000.0,2021,Third,Manual,10000.0,First,Petrol,Tata
101,Ecosport 1.5,1498.0,250000.0,2013,Third,Manual,100000.0,Second,Diesel,Ford
102,Swift VDI,1248.0,400000.0,2014,Third,Manual,100000.0,Second,Diesel,Maruti
103,Wagon R,1061.0,150000.0,2009,Third,Manual,80000.0,First,Petrol,Maruti
104,Indica Aqua,1248.0,100000.0,2009,Third,Manual,70000.0,Second,Diesel,Tata
105,XUV500 W7,2179.0,1275000.0,2020,Third,Manual,50000.0,First,Diesel,Mahindra
